station,connected_station,distance
Noida Sector 62~B,Botanical Garden~B,8
Botanical Garden~B,Yamuna Bank~B,10
Yamuna Bank~B,Vaishali~B,8
Yamuna Bank~B,Rajiv Chowk~BY,6
Rajiv Chowk~BY,Moti Nagar~B,9
Moti Nagar~B,Janak Puri West~BO,7
Janak Puri West~BO,Dwarka Sector 21~B,6
Huda City Center~Y,Saket~Y,15
Saket~Y,AIIMS~Y,6
AIIMS~Y,Rajiv Chowk~BY,7
Rajiv Chowk~BY,New Delhi~YO,1
New Delhi~YO,Chandni Chowk~Y,2
Chandni Chowk~Y,Vishwavidyalaya~Y,5
New Delhi~YO,Shivaji Stadium~O,2
Shivaji Stadium~O,DDS Campus~O,7
DDS Campus~O,IGI Airport~O,8
Moti Nagar~B,Rajouri Garden~BP,2
Punjabi Bagh West~P,Rajouri Garden~BP,2
Punjabi Bagh West~P,Netaji Subhash Place~PR,3
